"REGISTRATION","VALID_SINCE","VALID_UNTIL","AC_OPERATOR","AC_OWNER","AC_SUBTYPE","AC_LOGICAL_NO","AC_STATE","DRY_OPERATING_WGT","MAX_TAKEOFF_WGT","CARGO_CAPACITY","FUEL_CAPACITY","AVG_FUEL_CONSUMP","AC_INDEX","CREWSIZE_COCKPIT","CREWSIZE_CABIN","STD_VERSION","AP_RESTRICTION","AC_OWNER_NAME","AC_SUBTYPE_NAME","AC_CATEGORY","REMARK","FUEL_MEASURE_UNIT","AC_CALLSIGN","RADIO","NOISE","PHONE","SPECIAL_EQUIPMENT","ACARS","ALT_REG","RECORD_ID","LAST_UPDATE","LAST_UPDATE_USER_ID","STD_VERSION_ALT_1","STD_VERSION_ALT_2","STD_VERSION_ALT_3","STD_VERSION_ALT_4","ILS_EQUIPMENT","AUTOLAND","HOMEBASE"
"N499",01-JUN-17,31-DEC-35,"5Y ","5Y","5Y4",16,"R",0,0,0,0,0,230,0,0,"STN","N","5Y                            ","5Y4                           ","J","-                                                                               ","kg ","","",,"","","","",310652,02-MAR-22,"netline","","","","","I","Y",""
"BLBC",13-DEC-15,31-DEC-18,"CX ","CX","33E",13,"R",0,233000,0,0,0,60,0,0,"STN","N","CX                            ","33E                           ","J","39J/223Y = 262                                                                  ","kg ","","S",,"","","S","",149029,02-MAR-22,"netline","","","","","I","Y",""
"BLBK",27-NOV-15,31-DEC-15,"CX ","CX","33P",11,"R",122018,217000,0,0,0,55,0,0,"STN","N","CATHAY PACIFIC                ","330                           ","J","24J/293Y = 317                                                                  ","kg ","","",,"","","S","",149929,02-MAR-22,"netline","","","","","I","Y",""
"N857",01-JUN-17,28-FEB-19,"5Y ","5Y","5Y8",3,"R",0,0,0,0,0,240,0,0,"STN","N","5Y                            ","5Y8                           ","J","-                                                                               ","kg ","","",,"","","","",321295,02-MAR-22,"netline","","","","","I","Y",""
"BHKX",29-JUN-17,23-JUN-18,"LD ","LD","LD7",4,"R",164399,326691,0,0,0,250,0,0,"VVSTN","N","AIR HK                        ","LD7                           ","J","NRT/PVG/SIN ONLY                                                                ","kg ","","",,"","","S","",317711,02-MAR-22,"netline","","","","","I","Y",""
"N859",01-JUN-17,31-DEC-35,"5Y ","5Y","5Y8",4,"R",0,0,0,0,0,240,0,0,"STN","N","5Y                            ","5Y8                           ","J","-                                                                               ","kg ","","",,"","","","",321296,02-MAR-22,"netline","","","","","I","Y",""
"CX33J",01-JAN-19,31-DEC-35,"CX ","CX","33J",0,"O",124887,233000,0,0,0,80,0,0,"STN","N","CATHAY PACIFIC                ","33J                           ","J","28J/265Y = 293                                                                  ","kg ","","",,"","","","",327040,02-MAR-22,"netline","","","","","I","Y",""
"BKPZ",24-MAY-18,31-DEC-35,"CX ","CX","77K",3,"R",0,0,0,0,0,105,0,0,"STN","N","CX                            ","77K                           ","J","40J/32W/296Y = 368                                                              ","kg ","","",,"","","S","",391127,02-MAR-22,"netline","","","","","I","Y",""
"BKQB",26-MAY-18,28-JUN-20,"CX ","CX","77K",4,"R",0,0,0,0,0,105,0,0,"STN","N","CX                            ","77K                           ","J","40J/32W/296Y = 368                                                              ","kg ","","",,"","","S","",391128,02-MAR-22,"netline","","","","","I","Y",""
"BLRV",15-OCT-17,31-DEC-17,"CX ","CX","35G",22,"R",0,268000,0,0,0,10,0,0,"STN","N","CX                            ","35G                           ","J","38J/28W/214Y = 280                                                              ","kg ","","",,"","","S","",346213,02-MAR-22,"netline","","","","","I","Y",""
